jahr;straftat_code;straftat_bezeichnung;nationalitaet;tatverdaechtige
2002;514500;Wertpapierbetrug;Nichtdeutsch;3
2003;514500;Wertpapierbetrug;Nichtdeutsch;7
2004;514500;Wertpapierbetrug;Nichtdeutsch;6
2005;514500;Wertpapierbetrug;Nichtdeutsch;3
2006;514500;Wertpapierbetrug;Nichtdeutsch;4
2007;514500;Wertpapierbetrug;Nichtdeutsch;4
2008;514500;Wertpapierbetrug;Nichtdeutsch;2
2009;514500;Wertpapierbetrug;Nichtdeutsch;1
2010;514500;Wertpapierbetrug;Nichtdeutsch;0
2011;514500;Wertpapierbetrug;Nichtdeutsch;2
2012;514500;Wertpapierbetrug;Nichtdeutsch;0
2013;514500;Wertpapierbetrug;Nichtdeutsch;7
2014;514500;Wertpapierbetrug;Nichtdeutsch;2
2015;514500;Wertpapierbetrug;Nichtdeutsch;4
1987;514600;Umschuldungsbetrug;Nichtdeutsch;6
1988;514600;Umschuldungsbetrug;Nichtdeutsch;5
1989;514600;Umschuldungsbetrug;Nichtdeutsch;8
1990;514600;Umschuldungsbetrug;Nichtdeutsch;1
1991;514600;Umschuldungsbetrug;Nichtdeutsch;3
1993;514600;Umschuldungsbetrug;Nichtdeutsch;1
1987;515000;Erschleichen von Leistungen § 265a StGB;Nichtdeutsch;12121
1988;515000;Erschleichen von Leistungen § 265a StGB;Nichtdeutsch;13719
1989;515000;Erschleichen von Leistungen § 265a StGB;Nichtdeutsch;15838
1990;515000;Erschleichen von Leistungen § 265a StGB;Nichtdeutsch;17930
1991;515000;Erschleichen von Leistungen § 265a StGB;Nichtdeutsch;23030
1992;515000;Erschleichen von Leistungen § 265a StGB;Nichtdeutsch;29286
1993;515000;Erschleichen von Leistungen § 265a StGB;Nichtdeutsch;40615
1994;515000;Erschleichen von Leistungen § 265a StGB;Nichtdeutsch;32931
1995;515000;Erschleichen von Leistungen § 265a StGB;Nichtdeutsch;28264
1996;515000;Erschleichen von Leistungen § 265a StGB;Nichtdeutsch;27892
1997;515000;Erschleichen von Leistungen § 265a StGB;Nichtdeutsch;33095
1998;515000;Erschleichen von Leistungen § 265a StGB;Nichtdeutsch;38057
1999;515000;Erschleichen von Leistungen § 265a StGB;Nichtdeutsch;33904
2000;515000;Erschleichen von Leistungen § 265a StGB;Nichtdeutsch;32346
2001;515000;Erschleichen von Leistungen § 265a StGB;Nichtdeutsch;30026
2002;515000;Erschleichen von Leistungen § 265a StGB;Nichtdeutsch;32052
2003;515000;Erschleichen von Leistungen § 265a StGB;Nichtdeutsch;33368
2004;515000;Erschleichen von Leistungen § 265a StGB;Nichtdeutsch;35986
2005;515000;Erschleichen von Leistungen § 265a StGB;Nichtdeutsch;33739
2006;515000;Erschleichen von Leistungen § 265a StGB;Nichtdeutsch;31363
2007;515000;Erschleichen von Leistungen § 265a StGB;Nichtdeutsch;32694
2008;515000;Erschleichen von Leistungen § 265a StGB;Nichtdeutsch;31587
2009;515000;Erschleichen von Leistungen § 265a StGB;Nichtdeutsch;34397
2010;515000;Erschleichen von Leistungen § 265a StGB;Nichtdeutsch;36722
2011;515000;Erschleichen von Leistungen § 265a StGB;Nichtdeutsch;39539
2012;515000;Erschleichen von Leistungen § 265a StGB;Nichtdeutsch;44046
2013;515000;Erschleichen von Leistungen § 265a StGB;Nichtdeutsch;46518
2014;515000;Erschleichen von Leistungen § 265a StGB;Nichtdeutsch;60114
2015;515000;Erschleichen von Leistungen § 265a StGB;Nichtdeutsch;72449
2016;515000;Erschleichen von Leistungen § 265a StGB;Nichtdeutsch;75403
2017;515000;Erschleichen von Leistungen § 265a StGB;Nichtdeutsch;71944
2018;515000;Erschleichen von Leistungen § 265a StGB;Nichtdeutsch;63400
2019;515000;Erschleichen von Leistungen § 265a StGB;Nichtdeutsch;59733
2020;515000;Erschleichen von Leistungen § 265a StGB;Nichtdeutsch;53480
2021;515000;Erschleichen von Leistungen § 265a StGB;Nichtdeutsch;50128
2022;515000;Erschleichen von Leistungen § 265a StGB;Nichtdeutsch;46284
2023;515000;Erschleichen von Leistungen § 265a StGB;Nichtdeutsch;58831
2024;515000;Erschleichen von Leistungen § 265a StGB;Nichtdeutsch;55468
1987;516000;Betrug mittels rechtswidrig erlangter unbarer Zahlungsmittel davon:;Nichtdeutsch;1007
1988;516000;Betrug mittels rechtswidrig erlangter unbarer Zahlungsmittel davon:;Nichtdeutsch;1073
1989;516000;Betrug mittels rechtswidrig erlangter unbarer Zahlungsmittel davon:;Nichtdeutsch;1288
1990;516000;Betrug mittels rechtswidrig erlangter unbarer Zahlungsmittel davon:;Nichtdeutsch;1335
1991;516000;Betrug mittels rechtswidrig erlangter unbarer Zahlungsmittel davon:;Nichtdeutsch;1827
1992;516000;Betrug mittels rechtswidrig erlangter unbarer Zahlungsmittel davon:;Nichtdeutsch;2550
1993;516000;Betrug mittels rechtswidrig erlangter unbarer Zahlungsmittel davon:;Nichtdeutsch;3055
1994;516000;Betrug mittels rechtswidrig erlangter unbarer Zahlungsmittel davon:;Nichtdeutsch;3390
1995;516000;Betrug mittels rechtswidrig erlangter unbarer Zahlungsmittel davon:;Nichtdeutsch;3497
1996;516000;Betrug mittels rechtswidrig erlangter unbarer Zahlungsmittel davon:;Nichtdeutsch;3456
1997;516000;Betrug mittels rechtswidrig erlangter unbarer Zahlungsmittel davon:;Nichtdeutsch;3892
1998;516000;Betrug mittels rechtswidrig erlangter unbarer Zahlungsmittel davon:;Nichtdeutsch;3746
1999;516000;Betrug mittels rechtswidrig erlangter unbarer Zahlungsmittel davon:;Nichtdeutsch;3478
2000;516000;Betrug mittels rechtswidrig erlangter unbarer Zahlungsmittel davon:;Nichtdeutsch;3775
2001;516000;Betrug mittels rechtswidrig erlangter unbarer Zahlungsmittel davon:;Nichtdeutsch;3724
2002;516000;Betrug mittels rechtswidrig erlangter unbarer Zahlungsmittel davon:;Nichtdeutsch;3797
2003;516000;Betrug mittels rechtswidrig erlangter unbarer Zahlungsmittel davon:;Nichtdeutsch;4377
2004;516000;Betrug mittels rechtswidrig erlangter unbarer Zahlungsmittel davon:;Nichtdeutsch;4709
2005;516000;Betrug mittels rechtswidrig erlangter unbarer Zahlungsmittel davon:;Nichtdeutsch;4770
2006;516000;Betrug mittels rechtswidrig erlangter unbarer Zahlungsmittel davon:;Nichtdeutsch;4067
2007;516000;Betrug mittels rechtswidrig erlangter unbarer Zahlungsmittel davon:;Nichtdeutsch;3489
2008;516000;Betrug mittels rechtswidrig erlangter unbarer Zahlungsmittel davon:;Nichtdeutsch;3578
2009;516000;Betrug mittels rechtswidrig erlangter unbarer Zahlungsmittel davon:;Nichtdeutsch;3781
2010;516000;Betrug mittels rechtswidrig erlangter unbarer Zahlungsmittel davon:;Nichtdeutsch;3667
2011;516000;Betrug mittels rechtswidrig erlangter unbarer Zahlungsmittel davon:;Nichtdeutsch;3686
2012;516000;Betrug mittels rechtswidrig erlangter unbarer Zahlungsmittel davon:;Nichtdeutsch;3644
2013;516000;Betrug mittels rechtswidrig erlangter unbarer Zahlungsmittel davon:;Nichtdeutsch;3616
2014;516000;Betrug mittels rechtswidrig erlangter unbarer Zahlungsmittel;Nichtdeutsch;3652
2015;516000;Betrug mittels rechtswidrig erlangter unbarer Zahlungsmittel;Nichtdeutsch;3787
2016;516000;Betrug bzw. Computerbetrug mittels rechtswidrig erlangter unbarer Zahlungsmittel;Nichtdeutsch;4226
2017;516000;Betrug bzw. Computerbetrug mittels rechtswidrig erlangter unbarer Zahlungsmittel;Nichtdeutsch;3779
2018;516000;Betrug bzw. Computerbetrug mittels rechtswidrig erlangter unbarer Zahlungsmittel;Nichtdeutsch;3722
2019;516000;Betrug bzw. Computerbetrug mittels rechtswidrig erlangter unbarer Zahlungsmittel;Nichtdeutsch;3202
2020;516000;Betrug bzw. Computerbetrug mittels rechtswidrig erlangter unbarer Zahlungsmittel;Nichtdeutsch;3381
2021;516000;Betrug bzw. Computerbetrug mittels rechtswidrig erlangter unbarer Zahlungsmittel;Nichtdeutsch;3272
2022;516000;Betrug bzw. Computerbetrug mittels rechtswidrig erlangter unbarer Zahlungsmittel;Nichtdeutsch;3785
2023;516000;Betrug bzw. Computerbetrug mittels rechtswidrig erlangter unbarer Zahlungsmittel;Nichtdeutsch;4699
2024;516000;Betrug bzw. Computerbetrug mittels rechtswidrig erlangter unbarer Zahlungsmittel;Nichtdeutsch;5633
1987;516100;Euroschecks;Nichtdeutsch;356
1988;516100;Euroschecks;Nichtdeutsch;415
1989;516100;Euroschecks;Nichtdeutsch;466
1990;516100;Euroschecks;Nichtdeutsch;413
1991;516100;Euroschecks;Nichtdeutsch;443
1992;516100;Euroschecks;Nichtdeutsch;462
1993;516100;Euroschecks;Nichtdeutsch;574
1994;516100;Euroschecks;Nichtdeutsch;618
1995;516100;Euroschecks;Nichtdeutsch;651
1996;516100;Euroschecks;Nichtdeutsch;608
1997;516100;Euroschecks;Nichtdeutsch;568
1998;516100;Euroschecks;Nichtdeutsch;508
1999;516100;Euroschecks;Nichtdeutsch;361
2000;516100;Euroschecks;Nichtdeutsch;332
2001;516100;Euroschecks;Nichtdeutsch;229
2002;516100;Schecks;Nichtdeutsch;494
2003;516100;Schecks;Nichtdeutsch;467
2004;516100;Schecks;Nichtdeutsch;302
2005;516100;Schecks;Nichtdeutsch;220
2006;516100;Schecks;Nichtdeutsch;147
2007;516100;Schecks;Nichtdeutsch;139
2008;516100;Schecks;Nichtdeutsch;98
2009;516100;Schecks;Nichtdeutsch;88
2010;516100;Schecks;Nichtdeutsch;122
1987;516200;sonstige Schecks;Nichtdeutsch;481
1988;516200;sonstige Schecks;Nichtdeutsch;455
1989;516200;sonstige Schecks;Nichtdeutsch;509
1990;516200;sonstige Schecks;Nichtdeutsch;481
1991;516200;sonstige Schecks;Nichtdeutsch;564
1992;516200;sonstige Schecks;Nichtdeutsch;612
1993;516200;sonstige Schecks;Nichtdeutsch;782
1994;516200;sonstige Schecks;Nichtdeutsch;803
1995;516200;sonstige Schecks;Nichtdeutsch;818
1996;516200;sonstige Schecks;Nichtdeutsch;788
1997;516200;sonstige Schecks;Nichtdeutsch;821
1998;516200;sonstige Schecks;Nichtdeutsch;640
1999;516200;sonstige Schecks;Nichtdeutsch;551
2000;516200;sonstige Schecks;Nichtdeutsch;447
2001;516200;sonstige Schecks;Nichtdeutsch;345
2002;516200;Betrug mittels rechtswidrig erlangter Debitkarten ohne PIN (Lastschriftverfahren);Nichtdeutsch;650
2003;516200;Betrug mittels rechtswidrig erlangter Debitkarten ohne PIN (Lastschriftverfahren);Nichtdeutsch;1239
2004;516200;Betrug mittels rechtswidrig erlangter Debitkarten ohne PIN (Lastschriftverfahren);Nichtdeutsch;1769
2005;516200;Betrug mittels rechtswidrig erlangter Debitkarten ohne PIN (Lastschriftverfahren);Nichtdeutsch;1620
2006;516200;Betrug mittels rechtswidrig erlangter Debitkarten ohne PIN (Lastschriftverfahren);Nichtdeutsch;1462
2007;516200;Betrug mittels rechtswidrig erlangter Debitkarten ohne PIN (Lastschriftverfahren);Nichtdeutsch;1180
2008;516200;Betrug mittels rechtswidrig erlangter Debitkarten ohne PIN (Lastschriftverfahren);Nichtdeutsch;1047
2009;516200;Betrug mittels rechtswidrig erlangter Debitkarten ohne PIN (Lastschriftverfahren);Nichtdeutsch;1074
2010;516200;Betrug mittels rechtswidrig erlangter Debitkarten ohne PIN (Lastschriftverfahren);Nichtdeutsch;795
2011;516200;Betrug mittels rechtswidrig erlangter Debitkarten ohne PIN (Lastschriftverfahren);Nichtdeutsch;809
2012;516200;Betrug mittels rechtswidrig erlangter Debitkarten ohne PIN (Lastschriftverfahren);Nichtdeutsch;779
2013;516200;Betrug mittels rechtswidrig erlangter Debitkarten ohne PIN (Lastschriftverfahren);Nichtdeutsch;690
2014;516200;Betrug mittels rechtswidrig erlangter Debitkarten ohne PIN (Lastschriftverfahren);Nichtdeutsch;772
2015;516200;Betrug mittels rechtswidrig erlangter Debitkarten ohne PIN (Lastschriftverfahren);Nichtdeutsch;811
2016;516200;Betrug mittels rechtswidrig erlangter Zahlungskarten ohne PIN (Lastschriftverfahren);Nichtdeutsch;1021
2017;516200;Betrug mittels rechtswidrig erlangter Zahlungskarten ohne PIN (Lastschriftverfahren);Nichtdeutsch;720
2018;516200;Betrug mittels rechtswidrig erlangter Zahlungskarten ohne PIN (Lastschriftverfahren);Nichtdeutsch;643
2019;516200;Betrug mittels rechtswidrig erlangter Zahlungskarten ohne PIN (Lastschriftverfahren);Nichtdeutsch;539
2020;516200;Betrug mittels rechtswidrig erlangter Zahlungskarten ohne PIN (Lastschriftverfahren);Nichtdeutsch;511
2021;516200;Betrug mittels rechtswidrig erlangter Zahlungskarten ohne PIN (Lastschriftverfahren);Nichtdeutsch;512
2022;516200;Betrug mittels rechtswidrig erlangter Zahlungskarten ohne PIN (Lastschriftverfahren);Nichtdeutsch;736
2023;516200;Betrug mittels rechtswidrig erlangter Zahlungskarten ohne PIN (Lastschriftverfahren);Nichtdeutsch;875
2024;516200;Betrug mittels rechtswidrig erlangter Zahlungskarten ohne PIN (Lastschriftverfahren);Nichtdeutsch;929
1987;516300;Scheckkarten;Nichtdeutsch;30
1988;516300;Scheckkarten;Nichtdeutsch;47
1989;516300;Karten für Geldausgabe bzw. Kassenautomaten;Nichtdeutsch;169
1990;516300;Karten für Geldausgabe bzw. Kassenautomaten;Nichtdeutsch;235
1991;516300;Karten für Geldausgabe bzw. Kassenautomaten;Nichtdeutsch;321
1992;516300;Karten für Geldausgabe bzw. Kassenautomaten;Nichtdeutsch;526
1993;516300;Karten für Geldausgabe bzw. Kassenautomaten;Nichtdeutsch;666
1994;516300;Karten für Geldausgabe bzw. Kassenautomaten;Nichtdeutsch;800
1995;516300;Karten für Geldausgabe bzw. Kassenautomaten;Nichtdeutsch;976
1996;516300;Karten für Geldausgabe bzw. Kassenautomaten;Nichtdeutsch;1213
1997;516300;Karten für Geldausgabe bzw. Kassenautomaten;Nichtdeutsch;1441
1998;516300;Karten für Geldausgabe bzw. Kassenautomaten;Nichtdeutsch;1522
1999;516300;Karten für Geldausgabe bzw. Kassenautomaten;Nichtdeutsch;1440
2000;516300;Karten für Geldausgabe bzw. Kassenautomaten;Nichtdeutsch;1716
2001;516300;Karten für Geldausgabe bzw. Kassenautomaten;Nichtdeutsch;1723
2002;516300;Betrug mittels rechtswidrig erlangter Debitkarten mit PIN;Nichtdeutsch;1457
2003;516300;Betrug mittels rechtswidrig erlangter Debitkarten mit PIN;Nichtdeutsch;1601
2004;516300;Betrug mittels rechtswidrig erlangter Debitkarten mit PIN;Nichtdeutsch;1604
2005;516300;Betrug mittels rechtswidrig erlangter Debitkarten mit PIN;Nichtdeutsch;1808
2006;516300;Betrug mittels rechtswidrig erlangter Debitkarten mit PIN;Nichtdeutsch;1602
2007;516300;Betrug mittels rechtswidrig erlangter Debitkarten mit PIN;Nichtdeutsch;1427
2008;516300;Betrug mittels rechtswidrig erlangter Debitkarten mit PIN;Nichtdeutsch;1514
2009;516300;Betrug mittels rechtswidrig erlangter Debitkarten mit PIN;Nichtdeutsch;1482
2010;516300;Betrug mittels rechtswidrig erlangter Debitkarten mit PIN;Nichtdeutsch;1582
2011;516300;Betrug mittels rechtswidrig erlangter Debitkarten mit PIN;Nichtdeutsch;1722
2012;516300;Betrug mittels rechtswidrig erlangter Debitkarten mit PIN;Nichtdeutsch;1573
2013;516300;Betrug mittels rechtswidrig erlangter Debitkarten mit PIN;Nichtdeutsch;1619
2014;516300;Betrug mittels rechtswidrig erlangter Debitkarten mit PIN;Nichtdeutsch;1555
2015;516300;Betrug mittels rechtswidrig erlangter Debitkarten mit PIN;Nichtdeutsch;1627
2016;516300;Computerbetrug mittels rechtswidrig erlangter Zahlungskarten mit PIN § 263a StGB;Nichtdeutsch;1639
2017;516300;Computerbetrug mittels rechtswidrig erlangter Zahlungskarten mit PIN § 263a StGB;Nichtdeutsch;1451
2018;516300;Computerbetrug mittels rechtswidrig erlangter Zahlungskarten mit PIN § 263a StGB;Nichtdeutsch;1415
2019;516300;Computerbetrug mittels rechtswidrig erlangter Zahlungskarten mit PIN § 263a StGB;Nichtdeutsch;1321
2020;516300;Computerbetrug mittels rechtswidrig erlangter Zahlungskarten mit PIN § 263a StGB;Nichtdeutsch;1336
2021;516300;Computerbetrug mittels rechtswidrig erlangter Zahlungskarten mit PIN § 263a StGB;Nichtdeutsch;1141
2022;516300;Computerbetrug mittels rechtswidrig erlangter Zahlungskarten mit PIN § 263a StGB;Nichtdeutsch;1300
2023;516300;Computerbetrug mittels rechtswidrig erlangter Zahlungskarten mit PIN § 263a StGB;Nichtdeutsch;1530
2024;516300;Computerbetrug mittels rechtswidrig erlangter Zahlungskarten mit PIN § 263a StGB;Nichtdeutsch;1670
1987;516400;Betrug mittels rechtswidrig erlangter Kreditkarten;Nichtdeutsch;80
1988;516400;Betrug mittels rechtswidrig erlangter Kreditkarten;Nichtdeutsch;90
1989;516400;Betrug mittels rechtswidrig erlangter Kreditkarten;Nichtdeutsch;149
1990;516400;Betrug mittels rechtswidrig erlangter Kreditkarten;Nichtdeutsch;191
1991;516400;Betrug mittels rechtswidrig erlangter Kreditkarten;Nichtdeutsch;458
1992;516400;Betrug mittels rechtswidrig erlangter Kreditkarten;Nichtdeutsch;841
1993;516400;Betrug mittels rechtswidrig erlangter Kreditkarten;Nichtdeutsch;874
1994;516400;Betrug mittels rechtswidrig erlangter Kreditkarten;Nichtdeutsch;1000
1995;516400;Betrug mittels rechtswidrig erlangter Kreditkarten;Nichtdeutsch;913
1996;516400;Betrug mittels rechtswidrig erlangter Kreditkarten;Nichtdeutsch;673
1997;516400;Betrug mittels rechtswidrig erlangter Kreditkarten;Nichtdeutsch;814
1998;516400;Betrug mittels rechtswidrig erlangter Kreditkarten;Nichtdeutsch;780
1999;516400;Betrug mittels rechtswidrig erlangter Kreditkarten;Nichtdeutsch;943
2000;516400;Betrug mittels rechtswidrig erlangter Kreditkarten;Nichtdeutsch;1147
2001;516400;Betrug mittels rechtswidrig erlangter Kreditkarten;Nichtdeutsch;1205
2002;516400;Betrug mittels rechtswidrig erlangter Kreditkarten;Nichtdeutsch;971
2003;516400;Betrug mittels rechtswidrig erlangter Kreditkarten;Nichtdeutsch;886
2004;516400;Betrug mittels rechtswidrig erlangter Kreditkarten;Nichtdeutsch;810
2005;516400;Betrug mittels rechtswidrig erlangter Kreditkarten;Nichtdeutsch;707
2006;516400;Betrug mittels rechtswidrig erlangter Kreditkarten;Nichtdeutsch;613
2007;516400;Betrug mittels rechtswidrig erlangter Kreditkarten;Nichtdeutsch;434
2008;516400;Betrug mittels rechtswidrig erlangter Kreditkarten;Nichtdeutsch;472
2009;516400;Betrug mittels rechtswidrig erlangter Kreditkarten;Nichtdeutsch;483
2010;516400;Betrug mittels rechtswidrig erlangter Kreditkarten;Nichtdeutsch;476
2011;516400;Betrug mittels rechtswidrig erlangter Kreditkarten;Nichtdeutsch;417
2012;516400;Betrug mittels rechtswidrig erlangter Kreditkarten;Nichtdeutsch;426
2013;516400;Betrug mittels rechtswidrig erlangter Kreditkarten;Nichtdeutsch;473
2014;516400;Betrug mittels rechtswidrig erlangter Kreditkarten;Nichtdeutsch;451
2015;516400;Betrug mittels rechtswidrig erlangter Kreditkarten;Nichtdeutsch;475
1987;516500;sonstige unbare Zahlungsmittel;Nichtdeutsch;92
1988;516500;sonstige unbare Zahlungsmittel;Nichtdeutsch;100
1989;516500;sonstige unbare Zahlungsmittel;Nichtdeutsch;69
1990;516500;sonstige unbare Zahlungsmittel;Nichtdeutsch;82
1991;516500;sonstige unbare Zahlungsmittel;Nichtdeutsch;118
1992;516500;sonstige unbare Zahlungsmittel;Nichtdeutsch;200
1993;516500;sonstige unbare Zahlungsmittel;Nichtdeutsch;291
1994;516500;sonstige unbare Zahlungsmittel;Nichtdeutsch;293
1995;516500;sonstige unbare Zahlungsmittel;Nichtdeutsch;309
1996;516500;sonstige unbare Zahlungsmittel;Nichtdeutsch;349
1997;516500;sonstige unbare Zahlungsmittel;Nichtdeutsch;435
1998;516500;sonstige unbare Zahlungsmittel;Nichtdeutsch;484
1999;516500;sonstige unbare Zahlungsmittel;Nichtdeutsch;356
2000;516500;sonstige unbare Zahlungsmittel;Nichtdeutsch;356
2001;516500;sonstige unbare Zahlungsmittel;Nichtdeutsch;406
2002;516500;Betrug mittels rechtswidrig erlangter Daten von Zahlungskarten;Nichtdeutsch;272
2003;516500;Betrug mittels rechtswidrig erlangter Daten von Zahlungskarten;Nichtdeutsch;140
2004;516500;Betrug mittels rechtswidrig erlangter Daten von Zahlungskarten;Nichtdeutsch;169
2005;516500;Betrug mittels rechtswidrig erlangter Daten von Zahlungskarten;Nichtdeutsch;291
2006;516500;Betrug mittels rechtswidrig erlangter Daten von Zahlungskarten;Nichtdeutsch;250
2007;516500;Betrug mittels rechtswidrig erlangter Daten von Zahlungskarten;Nichtdeutsch;298
2008;516500;Betrug mittels rechtswidrig erlangter Daten von Zahlungskarten;Nichtdeutsch;444
2009;516500;Betrug mittels rechtswidrig erlangter Daten von Zahlungskarten;Nichtdeutsch;737
2010;516500;Betrug mittels rechtswidrig erlangter Daten von Zahlungskarten;Nichtdeutsch;759
2011;516500;Betrug mittels rechtswidrig erlangter Daten von Zahlungskarten;Nichtdeutsch;712
2012;516500;Betrug mittels rechtswidrig erlangter Daten von Zahlungskarten;Nichtdeutsch;820
2013;516500;Betrug mittels rechtswidrig erlangter Daten von Zahlungskarten;Nichtdeutsch;800
2014;516500;Betrug mittels rechtswidrig erlangter Daten von Zahlungskarten;Nichtdeutsch;893
2015;516500;Betrug mittels rechtswidrig erlangter Daten von Zahlungskarten;Nichtdeutsch;874
2016;516500;Betrug bzw. Computerbetrug mittels rechtswidrig erlangter Daten von Zahlungskarten §§ 263, 263a StGB;Nichtdeutsch;1349
2017;516500;Betrug bzw. Computerbetrug mittels rechtswidrig erlangter Daten von Zahlungskarten §§ 263, 263a StGB;Nichtdeutsch;1299
2018;516500;Betrug bzw. Computerbetrug mittels rechtswidrig erlangter Daten von Zahlungskarten §§ 263, 263a StGB;Nichtdeutsch;950
2019;516500;Betrug bzw. Computerbetrug mittels rechtswidrig erlangter Daten von Zahlungskarten §§ 263, 263a StGB;Nichtdeutsch;1024
2020;516500;Betrug bzw. Computerbetrug mittels rechtswidrig erlangter Daten von Zahlungskarten §§ 263, 263a StGB;Nichtdeutsch;1155
2021;516500;Betrug bzw. Computerbetrug mittels rechtswidrig erlangter Daten von Zahlungskarten §§ 263, 263a StGB;Nichtdeutsch;1160
2022;516500;Betrug bzw. Computerbetrug mittels rechtswidrig erlangter Daten von Zahlungskarten §§ 263, 263a StGB;Nichtdeutsch;1230
2023;516500;Betrug bzw. Computerbetrug mittels rechtswidrig erlangter Daten von Zahlungskarten §§ 263, 263a StGB;Nichtdeutsch;1704
2024;516500;Betrug bzw. Computerbetrug mittels rechtswidrig erlangter Daten von Zahlungskarten §§ 263, 263a StGB;Nichtdeutsch;2145
2002;516900;Betrug mittels rechtswidrig erlangter sonstige unbare Zahlungsmittel;Nichtdeutsch;182
2003;516900;Betrug mittels rechtswidrig erlangter sonstige unbare Zahlungsmittel;Nichtdeutsch;318
2004;516900;Betrug mittels rechtswidrig erlangter sonstige unbare Zahlungsmittel;Nichtdeutsch;382
2005;516900;Betrug mittels rechtswidrig erlangter sonstige unbare Zahlungsmittel;Nichtdeutsch;454
2006;516900;Betrug mittels rechtswidrig erlangter sonstige unbare Zahlungsmittel;Nichtdeutsch;308
2007;516900;Betrug mittels rechtswidrig erlangter sonstige unbare Zahlungsmittel;Nichtdeutsch;260
2008;516900;Betrug mittels rechtswidrig erlangter sonstige unbare Zahlungsmittel;Nichtdeutsch;285
2009;516900;Betrug mittels rechtswidrig erlangter sonstige unbare Zahlungsmittel;Nichtdeutsch;216
2010;516900;Betrug mittels rechtswidrig erlangter sonstige unbare Zahlungsmittel;Nichtdeutsch;220
2011;516900;Betrug mittels rechtswidrig erlangter sonstige unbare Zahlungsmittel;Nichtdeutsch;293
2012;516900;Betrug mittels rechtswidrig erlangter sonstige unbare Zahlungsmittel;Nichtdeutsch;288
2013;516900;Betrug mittels rechtswidrig erlangter sonstige unbare Zahlungsmittel;Nichtdeutsch;339
2014;516900;Betrug mittels rechtswidrig erlangter sonstige unbare Zahlungsmittel;Nichtdeutsch;300
2015;516900;Betrug mittels rechtswidrig erlangter sonstige unbare Zahlungsmittel;Nichtdeutsch;270
2016;516900;Betrug bzw. Computerbetrug mittels rechtswidrig erlangter sonstiger unbarer Zahlungsmittel §§ 263, 263a StGB;Nichtdeutsch;557
2017;516900;Betrug bzw. Computerbetrug mittels rechtswidrig erlangter sonstiger unbarer Zahlungsmittel §§ 263, 263a StGB;Nichtdeutsch;605
2018;516900;Betrug bzw. Computerbetrug mittels rechtswidrig erlangter sonstiger unbarer Zahlungsmittel §§ 263, 263a StGB;Nichtdeutsch;977
2019;516900;Betrug bzw. Computerbetrug mittels rechtswidrig erlangter sonstiger unbarer Zahlungsmittel §§ 263, 263a StGB;Nichtdeutsch;550
2020;516900;Betrug bzw. Computerbetrug mittels rechtswidrig erlangter sonstiger unbarer Zahlungsmittel §§ 263, 263a StGB;Nichtdeutsch;710
2021;516900;Betrug bzw. Computerbetrug mittels rechtswidrig erlangter sonstiger unbarer Zahlungsmittel §§ 263, 263a StGB;Nichtdeutsch;779
2022;516900;Betrug bzw. Computerbetrug mittels rechtswidrig erlangter sonstiger unbarer Zahlungsmittel §§ 263, 263a StGB;Nichtdeutsch;946
2023;516900;Betrug bzw. Computerbetrug mittels rechtswidrig erlangter sonstiger unbarer Zahlungsmittel §§ 263, 263a StGB;Nichtdeutsch;1123
2024;516900;Betrug bzw. Computerbetrug mittels rechtswidrig erlangter sonstiger unbarer Zahlungsmittel §§ 263, 263a StGB;Nichtdeutsch;1493
1987;517000;sonstiger Betrug darunter:;Nichtdeutsch;13827
1988;517000;sonstiger Betrug darunter:;Nichtdeutsch;16959
1989;517000;sonstiger Betrug darunter:;Nichtdeutsch;18237
1990;517000;sonstiger Betrug darunter:;Nichtdeutsch;19357
1991;517000;sonstiger Betrug darunter:;Nichtdeutsch;20200
1992;517000;sonstiger Betrug darunter:;Nichtdeutsch;26229
1993;517000;sonstiger Betrug darunter:;Nichtdeutsch;34485
1994;517000;sonstiger Betrug darunter:;Nichtdeutsch;35437
1995;517000;sonstiger Betrug darunter:;Nichtdeutsch;36213
1996;517000;sonstiger Betrug darunter:;Nichtdeutsch;38698
1997;517000;sonstiger Betrug darunter:;Nichtdeutsch;41449
1998;517000;sonstiger Betrug darunter:;Nichtdeutsch;43832
1999;517000;Sonstiger Betrug davon:;Nichtdeutsch;39283
2000;517000;Sonstiger Betrug davon:;Nichtdeutsch;39576
2001;517000;Sonstiger Betrug davon:;Nichtdeutsch;35483
2002;517000;Sonstiger Betrug davon:;Nichtdeutsch;34866
2003;517000;Sonstiger Betrug davon:;Nichtdeutsch;35694
2004;517000;Sonstiger Betrug davon:;Nichtdeutsch;35837
2005;517000;Sonstiger Betrug davon:;Nichtdeutsch;36339
2006;517000;Sonstiger Betrug davon:;Nichtdeutsch;34762
2007;517000;Sonstiger Betrug davon:;Nichtdeutsch;34219
2008;517000;Sonstiger Betrug davon:;Nichtdeutsch;34343
2009;517000;Sonstiger Betrug davon:;Nichtdeutsch;35536
2010;517000;Sonstiger Betrug davon:;Nichtdeutsch;38820
2011;517000;Sonstiger Betrug davon:;Nichtdeutsch;37767
2012;517000;Sonstiger Betrug davon:;Nichtdeutsch;39707
2013;517000;Sonstiger Betrug davon:;Nichtdeutsch;38502
2014;517000;Sonstiger Betrug;Nichtdeutsch;42317
2015;517000;Sonstiger Betrug;Nichtdeutsch;41842
